Make,Model,Vendor Code,Vendor Name,MPN,AD Item Number,Vendor Notes,REF#,OEM#,Year
CAN-AM,OUTLANDER MAX 500 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-14
CAN-AM,QUEST 500,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2002-04
CAN-AM,QUEST 500 XT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2002-04
CAN-AM,RENEGADE 500 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2008-15
CAN-AM,RENEGADE 500 XT,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2012
CAN-AM,TRAXTER 500 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2001-05
CAN-AM,TRAXTER 500 AUTO CVT,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2005
CAN-AM,OUTLANDER 570 DPS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-23
CAN-AM,OUTLANDER MAX 570,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-23
CAN-AM,OUTLANDER L 570 EFI ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016
CAN-AM,OUTLANDER LE 570 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016
CAN-AM,OUTLANDER XMR 570 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-21
CAN-AM,RENEGADE 570 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-22
CAN-AM,OUTLANDER 650 6X6,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
CAN-AM,OUTLANDER 650 DPS EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-18
CAN-AM,OUTLANDER 650 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-15
CAN-AM,OUTLANDER 650 XMR ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-15
CAN-AM,OUTLANDER 650 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-14
CAN-AM,OUTLANDER MAX 650 STD 4X4,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-15
CAN-AM,OUTLANDER MAX 650 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-14
CAN-AM,QUEST 650 STD / XT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2002-04
CAN-AM,TRAXTER 650 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2004-05
CAN-AM,TRAXTER 650 AUTO CVT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2005
CAN-AM,OUTLANDER 800 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-08
CAN-AM,OUTLANDER 800 XMR ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2011-12
CAN-AM,OUTLANDER 800 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-08
CAN-AM,OUTLANDER 800 XXC ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2011
CAN-AM,OUTLANDER 800R EFI XMR,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
CAN-AM,OUTLANDER 800R STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2009-15
CAN-AM,OUTLANDER 800R XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2009-14
CAN-AM,OUTLANDER MAX 800 LTD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2007-08
CAN-AM,OUTLANDER MAX 800 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-08
CAN-AM,OUTLANDER MAX 800 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2006-08
CAN-AM,OUTLANDER MAX 800R EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
CAN-AM,OUTLANDER MAX 800R LTD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2009-12
CAN-AM,OUTLANDER MAX 800R STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2009-14
CAN-AM,OUTLANDER MAX 800R XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2009-14
CAN-AM,RENEGADE 800 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2007-15
CAN-AM,RENEGADE 800 X ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2008-09
CAN-AM,RENEGADE 800 XXC ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2010-14
CAN-AM,OUTLANDER 850 DPS EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-23
CAN-AM,OUTLANDER MAX 850 DPS EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-23
CAN-AM,RENEGADE 850,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-22
CAN-AM,RENEGADE 850 XXC,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-22
CAN-AM,OUTLANDER 1000 DPS EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-18
CAN-AM,OUTLANDER 1000 EFI/6X6/XMR ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2012-23
CAN-AM,OUTLANDER 1000 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2012-14
CAN-AM,OUTLANDER 1000 XMR ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-14
CAN-AM,OUTLANDER 1000 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2012-14
CAN-AM,OUTLANDER MAX 1000 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-20
CAN-AM,OUTLANDER MAX 1000 XT/ XTP 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-23
CAN-AM,RENEGADE 1000 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2012-19
CAN-AM,RENEGADE 1000 XXC,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2012-23
UTV,DEFENDER 500 / DPS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-21
UTV,DEFENDER 1000 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-21
UTV,DEFENDER 1000 XMR,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2018-22
UTV,DEFENDER 1000 XT/DPS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-22
UTV,DEFENDER 6X6 HD10 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2020-23
UTV,DEFENDER 800 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-21
UTV,DEFENDER 800 XT/DPS ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-21
UTV,DEFENDER HD10,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2020-23
UTV,DEFENDER HD7,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2022-23
UTV,DEFENDER HD9 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2022-23
UTV,DEFENDER MAX 1000 XT/DPS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-22
UTV,DEFENDER MAX HD10,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2019-23
UTV,DEFENDER MAX HD7,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2022-23
UTV,DEFENDER MAX HD9,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2022-23
UTV,DEFENDER PRO HD10,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2002-23
UTV,MAVERICK 1000 STD,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-18
UTV,MAVERICK 1000 TURBO,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-17
UTV,MAVERICK 1000 TURBO XDS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-17
UTV,MAVERICK 1000 TURBO XRS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016
UTV,MAVERICK 1000 XC,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-17
UTV,MAVERICK 1000 XDS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-16
UTV,MAVERICK 1000 XMR,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-18
UTV,MAVERICK 1000 XRS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-15
UTV,MAVERICK 1000 XXC,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-17
UTV,MAVERICK MAX 1000 STD,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-18
UTV,MAVERICK TRAIL 800R ALL,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04501,990392,"REF# : 50-1175,50-1175; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2018-21
UTV,MAVERICK MAX 1000 TURBO,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-17
UTV,MAVERICK MAX 1000 TURBO XDS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-17
UTV,MAVERICK MAX 1000 TURBO XRS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-17
UTV,MAVERICK MAX 1000 XC/XXC,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016
UTV,MAVERICK MAX 1000 XDS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-16
UTV,MAVERICK MAX 1000 XMR,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-18
UTV,MAVERICK MAX 1000 XRS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04165,129342,"REF# : 50-1133,50-1133; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-15
UTV,MAVERICK SPORT 1000,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04501,990392,"REF# : 50-1175,50-1175; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2019-21
UTV,MAVERICK SPORT MAX 1000R DPS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04501,990392,"REF# : 50-1175,50-1175; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2019-23
UTV,MAVERICK TRAIL 1000 ALL,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04501,990392,"REF# : 50-1175,50-1175; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2018-23
